Territorialidades;ESTADO;Municipio;CodMunicipio;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010
Abadia de Goiás (GO);(GO);Abadia de Goiás;#N/D;0,708;0,687;0,83;0,622
Abadia dos Dourados (MG);(MG);Abadia dos Dourados;310010;0,689;0,693;0,839;0,563
Abadiânia (GO);(GO);Abadiânia;#N/D;0,689;0,671;0,841;0,579
Abaeté (MG);(MG);Abaeté;#N/D;0,698;0,72;0,848;0,556
Abaetetuba (PA);(PA);Abaetetuba;150010;0,628;0,579;0,798;0,537
Abaiara (CE);(CE);Abaiara;230010;0,628;0,54;0,748;0,612
Abaíra (BA);(BA);Abaíra;#N/D;0,603;0,577;0,746;0,51
Abaré (BA);(BA);Abaré;#N/D;0,575;0,533;0,776;0,46
Abatiá (PR);(PR);Abatiá;#N/D;0,687;0,676;0,804;0,596
Abdon Batista (SC);(SC);Abdon Batista;#N/D;0,694;0,66;0,812;0,625
Abelardo Luz (SC);(SC);Abelardo Luz;420010;0,696;0,684;0,852;0,578
Abel Figueiredo (PA);(PA);Abel Figueiredo;150013;0,622;0,625;0,8;0,481
Abre Campo (MG);(MG);Abre Campo;310030;0,654;0,646;0,823;0,525
Abreu E Lima (PE);(PE);Abreu E Lima;260005;0,679;0,625;0,791;0,632
Abreulândia (TO);(TO);Abreulândia;#N/D;0,665;0,7;0,835;0,502
Acaiaca (MG);(MG);Acaiaca;310040;0,63;0,61;0,823;0,499
Açailândia (MA);(MA);Açailândia;#N/D;0,672;0,643;0,785;0,602
Acajutiba (BA);(BA);Acajutiba;290030;0,582;0,56;0,723;0,487
Acará (PA);(PA);Acará;#N/D;0,506;0,517;0,757;0,332
Acarape (CE);(CE);Acarape;230015;0,606;0,559;0,709;0,562
Acaraú (CE);(CE);Acaraú;#N/D;0,601;0,554;0,758;0,517
Acari (RN);(RN);Acari;240010;0,679;0,633;0,779;0,634
Acauã (PI);(PI);Acauã;#N/D;0,528;0,517;0,692;0,411
Aceguá (RS);(RS);Aceguá;#N/D;0,687;0,703;0,852;0,541
Acopiara (CE);(CE);Acopiara;230030;0,595;0,563;0,724;0,517
Acorizal (MT);(MT);Acorizal;510010;0,628;0,594;0,816;0,51
Acrelândia (AC);(AC);Acrelândia;#N/D;0,604;0,584;0,808;0,466
Acreúna (GO);(GO);Acreúna;#N/D;0,686;0,71;0,822;0,553
Açucena (MG);(MG);Açucena;#N/D;0,61;0,595;0,844;0,451
Açu (RN);(RN);Açu;#N/D;0,661;0,641;0,795;0,568
Adamantina (SP);(SP);Adamantina;350010;0,79;0,772;0,852;0,75
Adelândia (GO);(GO);Adelândia;#N/D;0,702;0,664;0,836;0,622
Adolfo (SP);(SP);Adolfo;350020;0,73;0,71;0,844;0,648
Adrianópolis (PR);(PR);Adrianópolis;#N/D;0,667;0,644;0,817;0,563
Adustina (BA);(BA);Adustina;#N/D;0,546;0,526;0,718;0,432
Afogados da Ingazeira (PE);(PE);Afogados da Ingazeira;#N/D;0,657;0,623;0,807;0,565
Afonso Bezerra (RN);(RN);Afonso Bezerra;240030;0,585;0,56;0,713;0,502
Afonso Cláudio (ES);(ES);Afonso Cláudio;#N/D;0,667;0,661;0,825;0,544
Afonso Cunha (MA);(MA);Afonso Cunha;#N/D;0,529;0,471;0,725;0,434
Afrânio (PE);(PE);Afrânio;#N/D;0,588;0,542;0,761;0,493
Afuá (PA);(PA);Afuá;#N/D;0,489;0,485;0,774;0,311
Agrestina (PE);(PE);Agrestina;260030;0,592;0,581;0,76;0,47
Agricolândia (PI);(PI);Agricolândia;#N/D;0,599;0,55;0,742;0,526
Agrolândia (SC);(SC);Agrolândia;#N/D;0,725;0,727;0,827;0,633
